TERRITORY,IPC,NATION,INFANTRY,ARTILLERY,TANK,FIGHTER,BOMBER,AA_GUN,DESTROYER,TRANSPORT,CRUISER,AIRCRAFT_CARRIER,SUBMARINE,BATTLESHIP
Morocco Algeria         ,  1, GERMANY,  1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Libya                   ,  1, GERMANY,  1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5                       ,  0, GERMANY,  0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0
9                       ,  0, GERMANY,  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0
15                      ,  0, GERMANY,  0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
United Kingdom          ,  8, UK,       2, 1, 1, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0
Eastern Canada          ,  3, UK,       0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Anglo-Egypt Sudan       ,  2, UK,       1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
Union of South Africa   ,  2, UK,       1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Trans-Jordan            ,  1, UK,       1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Persia                  ,  1, UK,       1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
India                   ,  3, UK,       3, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
Australia               ,  2, UK,       1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
New Zealand             ,  1, UK,       1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Western Canada          ,  1, UK,       1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
French West Africe      ,  1, UK,       1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
French Equatorial Africa,  1, UK,       1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Belgian Congo           ,  1, UK,       1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Rhodesia                ,  1, UK,       1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Italian East Africa     ,  1, UK,       1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
French Madagascar       ,  1, UK,       1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7                       ,  0, UK,       0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
10                      ,  0, UK,       0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0
14                      ,  0, UK,       0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
17                      ,  0, UK,       0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
35                      ,  0, UK,       0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0
39                      ,  0, UK,       0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0
Japan                   ,  8, JAPAN,    4, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
Manchuria               ,  3, JAPAN,    3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
Kwangtung               ,  3, JAPAN,    1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Okinawa                 ,  1, JAPAN,    1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Wake Island             ,  0, JAPAN,    1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
French Indo-China       ,  3, JAPAN,    2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
East Indies             ,  4, JAPAN,    2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Borneo                  ,  4, JAPAN,    1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
New Guinea              ,  1, JAPAN,    1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Solomon Islands         ,  0, JAPAN,    1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Caroline Islands        ,  0, JAPAN,    1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Philippine Islands      ,  3, JAPAN,    1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
37                      ,  0, JAPAN,    0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1
44                      ,  0, JAPAN,    0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
50                      ,  0, JAPAN,    0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0
60                      ,  0, JAPAN,    0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1
61                      ,  0, JAPAN,    0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0
Eastern United States   , 12, USA,      2, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
Central United States   ,  6, USA,      1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Alaska                  ,  2, USA,      1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Western United States   , 10, USA,      2, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
Midway                  ,  0, USA,      1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Hawaiian Islands        ,  1, USA,      1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
Mexico                  ,  2, USA,      0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Panama                  ,  1, USA,      0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Brazil                  ,  3, USA,      0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
West Indies             ,  1, USA,      0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Sinkiang                ,  2, USA,      2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
China                   ,  2, USA,      2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
11                      ,  0, USA,      0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0
19                      ,  0, USA,      0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
53                      ,  0, USA,      0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0
56                      ,  0, USA,      0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1
